kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
4672,79435,2010,1,KBO,Samsung,26,0,0,6,10,0,1,0.375,442,298,106,8,54,5,78,62,57,5.25
4673,79440,2010,1,KBO,Samsung,28,0,0,4,2,0,1,0.667,272,183,55,9,37,2,60,42,36,5.31
4674,79440,2011,1,KBO,Samsung,31,0,0,6,2,0,0,0.75,323,240,56,9,32,4,60,22,20,2.25
4675,79440,2012,1,KBO,Samsung,13,0,0,1,1,0,0,0.5,104,78,17,0,11,2,16,7,7,2.49
4676,79440,2015,1,KBO,Samsung,12,0,0,2,2,1,0,0.5,143,90,40,5,16,2,29,27,27,8.28
4677,79440,2016,1,KBO,Samsung,27,0,0,4,7,0,0,0.364,533,333,138,19,62,8,70,92,84,6.81
4678,79440,2017,1,KBO,Samsung,9,0,0,1,4,0,0,0.2,159,96,46,9,14,4,27,37,35,9.84
4679,79440,2018,1,KBO,Samsung,19,0,0,1,0,0,0,1,137,93,31,3,9,3,27,17,12,3.48
4680,79440,2019,1,KBO,Samsung,12,0,0,0,2,0,0,0,106,70,24,1,15,2,15,17,17,7.06
4681,79440,2020,1,KBO,Samsung,5,0,0,0,0,0,0,-,26,18,5,1,4,1,3,5,5,8.44
4682,79440,2021,1,KBO,Hanwha,8,0,0,0,0,0,0,-,44,30,6,2,10,0,6,6,5,4.82
4683,79442,2009,1,KBO,Samsung,16,0,0,2,0,0,0,1,223,142,58,10,28,5,33,32,31,6.11
4684,79442,2010,1,KBO,Samsung,32,0,0,1,3,1,0,0.25,291,207,68,10,24,2,42,34,33,4.35
4685,79442,2011,1,KBO,Samsung,35,0,0,0,0,0,0,-,211,153,47,5,14,3,35,19,19,3.35
4686,79442,2012,1,KBO,Samsung,4,0,0,0,0,0,0,-,22,22,2,1,3,0,5,1,1,1.59
4687,79442,2013,1,KBO,Samsung,10,0,0,0,1,0,0,0,49,33,11,0,5,1,2,4,4,3.27
4688,79442,2014,1,KBO,Samsung,1,0,0,0,0,0,0,-,2,1,0,0,1,0,0,0,0,0
4689,79448,2009,1,KBO,Samsung,9,0,0,0,2,0,0,0,90,60,19,2,16,0,8,12,11,4.95
4690,79448,2010,1,KBO,Samsung,2,0,0,0,0,0,0,-,25,15,6,0,4,0,6,3,3,5.4
4691,79448,2011,1,KBO,Samsung,7,0,0,0,0,0,0,-,35,25,9,1,6,0,3,6,6,8.1
4692,79448,2016,1,KBO,Samsung,6,0,0,0,0,0,0,-,29,21,7,0,5,0,4,3,3,4.26
4693,79461,2009,1,KBO,Samsung,10,0,0,2,3,0,0,0.4,196,133,51,3,21,1,24,30,27,5.7
4694,79468,2009,1,KBO,Samsung,7,0,0,0,0,0,0,-,25,15,7,1,4,0,2,6,6,10.8
4695,79535,2010,1,KBO,Lotte,57,0,0,1,0,1,9,1,182,120,43,5,22,3,30,22,19,4.28
4696,79535,2011,1,KBO,Lotte,7,0,0,0,0,0,0,-,16,9,3,1,6,0,2,4,4,12
4697,79535,2012,1,KBO,SK,15,0,0,0,0,0,1,-,77,51,17,1,13,1,7,7,7,3.86
4698,79535,2014,1,KBO,Doosan,8,0,0,0,0,0,0,-,39,21,17,1,4,2,3,10,10,14.21
4699,79535,2015,1,KBO,Doosan,16,0,0,3,2,0,0,0.6,282,189,52,7,41,6,45,37,25,3.57
4700,79535,2016,1,KBO,Doosan,28,0,0,4,7,0,0,0.364,410,270,106,17,39,7,56,61,56,5.64
4701,79535,2018,1,KBO,Doosan,1,0,0,0,1,0,0,0,12,10,4,0,3,0,1,5,5,27
4702,79540,2009,1,KBO,Lotte,9,0,0,0,1,0,0,0,68,39,23,5,5,1,4,16,14,9.69
4703,79544,2015,1,KBO,Doosan,1,0,0,0,0,0,0,-,5,3,1,0,1,0,2,0,0,0
4704,79545,2010,1,KBO,Lotte,3,0,0,0,2,0,0,0,42,24,14,6,8,0,5,16,16,19.64
4705,79545,2011,1,KBO,Lotte,31,0,0,1,2,0,0,0.333,213,144,48,6,26,0,45,32,26,4.88
4706,79545,2012,1,KBO,Lotte,23,0,0,2,1,0,1,0.667,260,180,48,8,41,3,54,23,23,3.45
4707,79545,2013,1,KBO,Lotte,4,0,0,0,0,0,0,-,41,24,11,0,10,1,3,7,7,7.88
4708,79545,2017,1,KBO,Lotte,4,0,0,0,0,0,0,-,20,15,1,0,5,0,7,0,0,0
4709,79545,2018,1,KBO,Lotte,60,0,0,5,4,1,9,0.556,282,190,53,7,46,1,65,34,30,4.38
4710,79545,2019,1,KBO,Lotte,60,0,0,3,2,0,9,0.6,273,192,56,4,35,1,51,24,24,3.41
4711,79545,2020,1,KBO,Lotte,37,0,0,0,1,0,2,0,146,96,29,3,22,2,32,25,25,7.18
4712,79545,2021,1,KBO,Lotte,33,0,0,2,2,0,3,0.5,107,75,20,3,14,2,24,14,13,4.81
4713,79545,2022,1,KBO,Lotte,16,0,0,0,0,0,0,-,80,51,23,1,9,2,11,12,11,6.06
4714,79596,2009,1,KBO,Lotte,50,0,0,3,5,26,0,0.375,214,150,49,4,22,3,29,21,21,3.83
4715,79617,2009,1,KBO,KIA,4,0,0,0,0,0,0,-,19,12,4,0,5,0,1,4,4,10.8
4716,79617,2010,1,KBO,KIA,10,0,0,0,1,0,0,0,49,24,11,1,9,2,5,10,6,6.75
4717,79617,2016,1,KBO,KIA,12,0,0,0,1,0,0,0,113,70,31,1,20,0,12,21,19,7.89
4718,79617,2017,1,KBO,KIA,25,0,0,3,2,0,0,0.6,271,180,56,7,37,7,32,41,39,5.92
4719,79617,2018,1,KBO,KIA,3,0,0,1,0,0,0,1,45,30,10,1,8,0,5,7,7,6.3
4720,79617,2020,1,KBO,LG,3,0,0,0,0,0,0,-,9,10,3,0,1,0,3,3,3,16.2
4721,79621,2009,1,KBO,KIA,11,0,0,0,1,0,0,0,61,36,13,3,11,3,7,10,10,7.94
4722,79644,2009,1,KBO,KIA,29,4,0,14,5,0,0,0.737,802,573,200,6,41,10,129,83,66,3.12
4723,79644,2010,1,KBO,KIA,27,1,0,4,10,1,0,0.286,713,498,180,22,43,8,83,92,86,4.66
4724,79644,2011,1,KBO,KIA,26,1,0,11,9,1,0,0.55,631,466,153,14,26,9,106,71,68,3.98
4725,79644,2012,1,KBO,SK,5,0,0,3,2,0,0,0.6,110,84,26,3,3,1,13,13,12,3.86
4726,79650,2009,1,KBO,KIA,26,0,0,13,4,0,0,0.765,667,486,149,15,46,8,95,61,58,3.24
4727,79657,2016,1,KBO,NC,2,0,0,0,0,0,0,-,13,9,3,1,3,0,3,2,2,7.71
4728,79727,2009,1,KBO,Hanwha,12,0,0,1,7,0,0,0.125,290,186,81,13,27,4,56,49,48,7.04
4729,79746,2009,1,KBO,Hanwha,27,0,0,1,0,0,2,1,125,87,23,1,15,7,10,16,11,3.49
4730,79746,2010,1,KBO,Hanwha,42,0,0,1,2,0,2,0.333,222,141,65,5,20,8,25,45,39,7.58
