npbpID,playerID,yearID,stint,lgID,teamID,POS,G,W,L,SV,HLD,HP,CG,SHO,WL_pct,BFP,IPouts,H,HR,BB,HBP,SO,WP,BK,R,ER,ERA,GS,K_pct,BB_pct,HR_pct,BABIP,LOB%,IBB,RA-,FIP-,RA9_WAR,WAR
217,100099,1937.2F,1,JBL,SENATORS,UC,33,15,15,,,,20,3,0.5,1010,706,223,11,92,2,81,2,0,103,76,2.91,26,0.08,0.091,0.011,0.264,0.71,,87,98,4.1,3
218,100099,1942,1,JBL,TAIYO,UC,2,0,2,,,,0,0,0,50,31,7,0,11,0,3,0,0,6,5,4.35,2,0.06,0.22,0,0.206,0.667,,208,171,-0.3,-0.2
219,100099,1943,1,JBL,NISHITETSU,UC,2,0,2,,,,1,0,0,62,33,15,2,13,0,7,1,0,17,16,13.09,2,0.113,0.21,0.032,0.325,0.437,,535,213,-0.8,-0.3
220,100099,1948,1,JBL,HANKYU,UC,7,0,1,,,,1,0,0,159,111,36,0,18,0,6,0,0,15,11,2.68,1,0.038,0.113,0,0.269,0.722,,104,109,0.3,0.3
221,100100,1936.1S,1,JBL,DAI TOKYO,UC,6,0,5,,,,3,0,0,176,117,31,2,24,2,19,1,0,24,19,4.38,5,0.108,0.136,0.011,0.225,0.609,,104,108,0.3,0.3
222,100100,1936.2F,1,JBL,DAI TOKYO,UC,13,4,5,,,,5,0,0.444,392,257,62,0,65,2,50,0,1,38,29,3.05,11,0.128,0.166,0,0.227,0.705,,93,107,1.1,0.7
223,100100,1937.1S,1,JBL,DAI TOKYO,UC,3,1,1,,,,1,0,0.5,73,48,18,0,7,0,1,0,0,10,6,3.38,3,0.014,0.096,0,0.281,0.6,,133,104,-0.1,0.2
224,100100,1937.2F,1,JBL,NAGOYA,UC,5,0,2,,,,1,0,0,125,76,26,2,20,0,7,1,0,21,16,5.68,4,0.056,0.16,0.016,0.255,0.579,,166,133,-0.5,-0.1
225,100100,1938.1S,1,JBL,SENATORS,UC,8,1,3,,,,1,0,0.25,169,105,38,0,29,2,4,0,0,23,17,4.37,8,0.024,0.172,0,0.29,0.667,,140,127,-0.3,-0.1
226,100100,1938.2F,1,JBL,SENATORS,UC,2,0,2,,,,0,0,0,36,16,13,0,4,0,0,0,0,14,8,13.5,2,0,0.111,0,0.433,0.176,,590,109,-0.7,0.1
227,100103,1936.1S,1,JBL,HANKYU,UC,9,4,1,,,,1,0,0.8,207,126,42,0,31,3,16,1,0,28,21,4.5,3,0.077,0.15,0,0.275,0.632,,113,106,0.1,0.4
228,100103,1936.2F,1,JBL,HANKYU,UC,1,0,0,,,,0,0,,22,12,5,0,5,0,2,0,0,6,4,9,1,0.091,0.227,0,0.417,0.4,,315,148,-0.3,0
229,100103,1937.1S,1,JBL,HANKYU,UC,4,0,1,,,,1,0,0,65,45,6,1,13,1,7,1,0,7,4,2.4,1,0.108,0.2,0.015,0.116,0.699,,99,150,0.2,-0.2
