playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
100029,1941,1,JBL,Taiyo,P,26.0,9.0,38.0,0.0,1.0,,1.0,1.808
100029,1942,1,JBL,Taiyo,1B,16.0,103.0,4.0,1.0,7.0,,0.991,6.688
100029,1942,1,JBL,Taiyo,OF,2.0,4.0,0.0,0.0,0.0,,1.0,2.0
100029,1942,1,JBL,Taiyo,P,22.0,3.0,24.0,2.0,1.0,,0.931,1.227
100030,1936,1,JBL,Dai Tokyo,1B,1.0,,,,,,,
100030,1936,1,JBL,Dai Tokyo,C,11.0,,,,,,,
100031,1936,1,JBL,Nagoya,2B,16.0,,,,,,,
100031,1937,1,JBL,Korakuen,2B,36.0,82.0,66.0,7.0,16.0,,0.955,4.111
100031,1937,1,JBL,Korakuen,3B,21.0,23.0,45.0,8.0,4.0,,0.895,3.238
100031,1937,1,JBL,Korakuen,SS,21.0,25.0,62.0,16.0,8.0,,0.845,4.143
100031,1938,1,JBL,Eagles,2B,64.0,201.0,152.0,15.0,48.0,,0.959,5.516
100031,1938,1,JBL,Eagles,SS,1.0,0.0,3.0,0.0,0.0,,1.0,3.0
100032,1936,1,JBL,Osaka,OF,41.0,43.0,1.0,2.0,0.0,,0.957,1.073
100032,1941,1,JBL,Hanshin,OF,19.0,31.0,3.0,0.0,0.0,,1.0,1.789
100033,1936,1,JBL,Hankyu,2B,2.0,,,,,,,
100033,1936,1,JBL,Hankyu,3B,3.0,0.0,2.0,1.0,0.0,,0.667,0.667
100033,1936,1,JBL,Hankyu,SS,2.0,,,,,,,
100034,1936,1,JBL,Kinko,1B,5.0,17.0,0.0,0.0,0.0,,1.0,3.4
100034,1936,1,JBL,Kinko,OF,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
100034,1936,1,JBL,Kinko,P,7.0,0.0,2.0,0.0,0.0,,1.0,0.286
100034,1937,1,JBL,Kinko,1B,14.0,113.0,5.0,3.0,10.0,,0.975,8.429
100034,1937,1,JBL,Kinko,OF,3.0,3.0,0.0,0.0,0.0,,1.0,1.0
100034,1937,1,JBL,Kinko,P,2.0,0.0,4.0,0.0,1.0,,1.0,2.0
100035,1936,1,JBL,Kyojin,2B,12.0,17.0,12.0,1.0,2.0,,0.967,2.417
100035,1936,1,JBL,Kyojin,3B,12.0,11.0,17.0,4.0,2.0,,0.875,2.333
100035,1936,1,JBL,Kyojin,OF,5.0,5.0,2.0,1.0,0.0,,0.875,1.4
100035,1936,1,JBL,Kyojin,P,14.0,4.0,18.0,0.0,1.0,,1.0,1.571
100035,1937,1,JBL,Kyojin,2B,7.0,6.0,9.0,2.0,1.0,,0.882,2.143
100035,1937,1,JBL,Kyojin,OF,49.0,83.0,1.0,4.0,0.0,,0.955,1.714
100035,1937,1,JBL,Kyojin,P,29.0,13.0,52.0,4.0,5.0,,0.942,2.241
100035,1938,1,JBL,Kyojin,2B,2.0,6.0,1.0,1.0,3.0,,0.875,3.5
100035,1938,1,JBL,Kyojin,3B,2.0,0.0,3.0,0.0,0.0,,1.0,1.5
100035,1938,1,JBL,Kyojin,OF,1.0,2.0,0.0,0.0,0.0,,1.0,2.0
100035,1938,1,JBL,Kyojin,P,27.0,4.0,46.0,2.0,3.0,,0.962,1.852
100035,1946,1,JBL,Hankyu,P,11.0,5.0,22.0,1.0,1.0,,0.964,2.455
100036,1936,1,JBL,Hankyu,OF,43.0,67.0,3.0,1.0,1.0,,0.986,1.628
100036,1937,1,JBL,Hankyu,OF,104.0,222.0,13.0,7.0,2.0,,0.971,2.26
100036,1938,1,JBL,Hankyu,OF,59.0,84.0,3.0,1.0,1.0,,0.989,1.475
100036,1939,1,JBL,Hankyu,OF,90.0,188.0,4.0,2.0,1.0,,0.99,2.133
100036,1940,1,JBL,Hankyu,OF,90.0,182.0,4.0,0.0,0.0,,1.0,2.067
100036,1941,1,JBL,Hankyu,OF,16.0,15.0,0.0,0.0,0.0,,1.0,0.938
100036,1942,1,JBL,Hankyu,OF,92.0,185.0,6.0,5.0,1.0,,0.974,2.076
100036,1943,1,JBL,Hankyu,OF,4.0,9.0,0.0,0.0,0.0,,1.0,2.25
100037,1936,1,JBL,Nagoya,OF,38.0,39.0,2.0,0.0,0.0,,1.0,1.079
100037,1937,1,JBL,Nagoya,OF,46.0,71.0,3.0,3.0,0.0,,0.961,1.609
100038,1936,1,JBL,Nagoya,1B,34.0,191.0,7.0,7.0,18.0,,0.966,5.824
100039,1936,1,JBL,Hankyu,OF,41.0,48.0,1.0,0.0,0.0,,1.0,1.195
100039,1937,1,JBL,Hankyu,OF,88.0,160.0,20.0,6.0,6.0,,0.968,2.045
